Order_ID,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time
43,1.83,Clear,Medium,Evening,Bike,9,3.6,21.5
44,22.82,Rainy,Low,Night,Car,18,5.6,104.1
45,7.21,Rainy,Low,Morning,Bike,8,0.6,31.8
46,16.9,Rainy,High,Morning,Bike,10,4.4,118.4
47,8.48,Clear,Medium,Evening,Bike,9,5.8,48.1
48,13.48,Clear,Low,Night,Bike,28,5.4,65.3
49,14.12,Rainy,Medium,Night,Bike,33,4.4,106.1
50,5.44,Stormy,High,Afternoon,Bike,33,8.0,101.7
51,24.27,Foggy,Low,Evening,Car,6,5.3,112.8
52,19.6,Clear,High,Evening,Car,10,6.5,115.7
53,23.55,Foggy,Medium,Night,Bike,6,2.3,129.8
54,22.48,Clear,Medium,Evening,Bike,16,8.7,104.1
55,15.35,Clear,Medium,Morning,Bike,26,3.9,90.3
56,23.12,Clear,High,Morning,Bike,8,5.1,137.0
57,3.12,Clear,Low,Morning,Bike,17,3.8,22.8
58,5.7,Rainy,Low,Evening,Bike,21,9.0,43.8
59,2.09,Clear,High,Afternoon,Scooter,10,9.1,23.5
60,8.81,Clear,Medium,Afternoon,Bike,7,2.6,38.2
61,10.33,Clear,Medium,Night,Bike,17,7.7,60.1
62,7.51,Clear,Medium,Evening,Scooter,27,1.5,62.6
63,20.89,Rainy,Medium,Night,Scooter,7,0.8,113.4
64,9.56,Clear,High,Evening,Bike,30,8.4,81.8
65,7.74,Clear,High,Afternoon,Bike,24,1.7,82.7
66,14.02,Rainy,Medium,Morning,Car,13,2.0,84.1
67,4.38,Rainy,Low,Evening,Scooter,27,6.3,43.8
68,20.25,Rainy,Medium,Afternoon,Bike,8,8.3,96.0
69,2.79,Clear,Medium,Afternoon,Scooter,6,2.3,14.7
70,24.69,Foggy,Medium,Afternoon,Bike,9,1.6,152.5
71,19.53,Foggy,Medium,Morning,Scooter,12,1.2,125.7
72,5.77,Foggy,Low,Afternoon,Bike,6,0.7,31.1
73,1.13,Rainy,Medium,Night,Bike,29,1.6,48.3
74,20.57,Clear,Medium,Afternoon,Scooter,9,9.5,80.3
75,17.96,Stormy,High,Afternoon,Scooter,10,1.4,176.9
76,18.5,Clear,Medium,Evening,Bike,11,6.2,85.8
77,19.51,Clear,Low,Evening,Bike,17,9.2,66.2
78,2.78,Clear,Medium,Evening,Bike,13,6.5,25.3
79,9.6,Clear,High,Afternoon,Bike,11,0.8,72.4
80,3.78,Stormy,Medium,Afternoon,Bike,8,6.2,35.0
81,21.71,Rainy,Medium,Night,Scooter,9,9.1,104.3
82,15.96,Rainy,Medium,Morning,Bike,32,3.6,114.0
83,8.94,Rainy,Low,Afternoon,Scooter,7,3.5,28.6
84,2.53,Clear,High,Morning,Scooter,21,2.9,44.3
85,8.46,Clear,Low,Afternoon,Bike,23,5.3,45.5
86,8.8,Rainy,Medium,Morning,Scooter,17,2.8,62.9
87,18.51,Rainy,Low,Evening,Car,5,7.4,65.0
88,16.3,Clear,Low,Afternoon,Bike,9,6.6,63.4
89,22.29,Rainy,Medium,Night,Car,27,4.3,137.6
90,12.33,Clear,Medium,Morning,Scooter,13,7.4,62.3
91,3.87,Clear,Medium,Evening,Bike,8,1.4,24.4
92,18.12,Clear,Medium,Night,Bike,14,7.6,74.6
93,19.26,Clear,Medium,Evening,Scooter,18,6.2,99.1
94,14.47,Foggy,Medium,Afternoon,Bike,14,6.5,96.1
95,19.5,Foggy,Medium,Night,Scooter,5,1.1,119.3
96,12.85,Clear,Medium,Morning,Scooter,27,6.4,76.8
97,13.55,Rainy,Medium,Morning,Bike,23,5.2,85.0
98,11.26,Rainy,Medium,Night,Bike,21,5.1,82.2
99,1.61,Clear,High,Morning,Bike,24,3.6,48.6
100,3.59,Clear,Low,Evening,Bike,34,0.6,40.0
101,1.75,Stormy,High,Night,Car,31,4.5,74.5
102,16.27,Rainy,Low,Morning,Bike,29,4.3,84.5
103,8.54,Stormy,Medium,Evening,Bike,19,4.5,73.7
104,13.21,Clear,Low,Morning,Bike,26,6.3,58.9
105,22.78,Rainy,Medium,Evening,Car,10,3.3,132.5
106,6.98,Clear,Low,Afternoon,Bike,11,3.1,38.4
107,10.85,Clear,High,Evening,Car,5,5.2,61.6
108,19.13,Clear,High,Morning,Scooter,9,6.1,109.9
109,6.49,Clear,Medium,Evening,Car,24,5.9,41.7
110,2.85,Clear,Medium,Morning,Bike,24,8.9,32.2
111,7.95,Clear,High,Night,Bike,11,7.8,49.1
112,4.87,Clear,High,Night,Bike,6,1.0,34.7
113,23.31,Rainy,Medium,Afternoon,Bike,25,5.9,137.5
114,20.39,Clear,Medium,Evening,Scooter,27,4.5,106.9
115,16.2,Clear,Medium,Afternoon,Bike,7,3.9,78.3
116,21.92,Clear,Medium,Night,Bike,34,9.6,121.0
117,20.29,Clear,Medium,Evening,Scooter,6,4.8,87.1
118,5.48,Rainy,Medium,Evening,Bike,20,7.3,54.1
119,22.42,Clear,Low,Afternoon,Bike,32,9.7,82.7
120,13.94,Rainy,Medium,Afternoon,Bike,21,1.9,95.1
121,20.38,Clear,Medium,Evening,Scooter,25,1.0,106.0
122,22.51,Clear,High,Evening,Bike,16,3.5,137.3
123,8.63,Foggy,High,Evening,Scooter,32,0.9,118.1
124,3.64,Rainy,Medium,Afternoon,Bike,9,1.6,34.8
125,6.47,Clear,Medium,Morning,Bike,8,9.9,27.0
126,11.25,Foggy,Low,Night,Scooter,28,9.6,71.0
127,20.63,Clear,Medium,Night,Scooter,20,7.1,104.7
128,21.66,Foggy,Low,Afternoon,Bike,22,7.7,112.8
129,1.17,Rainy,Low,Evening,Scooter,17,1.8,22.0
130,13.26,Rainy,Medium,Night,Bike,32,6.2,95.0
131,11.02,Stormy,Medium,Night,Car,24,2.0,108.6
132,6.33,Clear,Low,Night,Scooter,25,4.1,35.3
133,3.88,Rainy,High,Night,Bike,13,3.8,43.3
134,9.1,Clear,Medium,Evening,Car,20,6.3,50.0
135,23.63,Clear,Low,Afternoon,Bike,7,1.3,90.0
136,8.76,Clear,Low,Evening,Scooter,33,1.5,56.9
137,13.45,Clear,Low,Evening,Car,21,6.3,58.8
138,17.87,Rainy,Low,Night,Bike,34,6.5,88.0
139,9.73,Rainy,High,Night,Bike,24,3.7,96.7
140,24.32,Rainy,Medium,Evening,Scooter,14,1.9,138.1
141,24.1,Clear,High,Evening,Bike,26,8.9,156.6
142,7.04,Clear,Low,Evening,Car,27,1.0,39.1
143,12.93,Foggy,Medium,Morning,Bike,24,7.3,92.2
144,8.22,Clear,Medium,Night,Scooter,8,1.8,44.7
145,7.84,Rainy,Medium,Afternoon,Bike,26,6.6,60.3
146,1.89,Rainy,Medium,Afternoon,Bike,5,6.8,23.9
147,15.63,Rainy,High,Afternoon,Car,25,8.1,135.8
148,13.06,Clear,Low,Morning,Scooter,20,4.3,53.4
149,2.24,Foggy,Medium,Morning,Bike,15,0.7,28.9
150,7.69,Clear,High,Afternoon,Bike,23,8.2,74.3
151,22.8,Foggy,Low,Afternoon,Scooter,12,4.7,115.0
152,6.75,Clear,Low,Afternoon,Scooter,9,8.5,25.0
153,4.48,Clear,Low,Evening,Scooter,27,7.9,35.0
154,12.75,Clear,Medium,Night,Scooter,28,5.2,70.3
155,24.66,Rainy,Low,Morning,Bike,12,10.0,108.8
156,6.81,Clear,Low,Morning,Car,33,4.9,46.9
157,17.13,Clear,Medium,Evening,Scooter,22,7.1,89.5
158,19.28,Clear,Medium,Morning,Bike,33,6.9,100.5
159,6.7,Foggy,Low,Afternoon,Bike,19,5.4,40.5
160,18.48,Foggy,Medium,Morning,Bike,22,6.1,123.7
161,9.83,Rainy,Medium,Evening,Scooter,17,8.1,72.8
162,16.18,Rainy,High,Night,Scooter,19,5.9,123.0
163,16.2,Clear,Medium,Afternoon,Car,30,4.8,88.7
164,13.86,Clear,High,Morning,Bike,25,6.8,100.0
165,3.17,Foggy,Medium,Afternoon,Scooter,17,0.8,47.8
166,21.05,Clear,Low,Night,Car,7,1.5,74.3
167,8.7,Clear,Medium,Morning,Bike,16,1.7,51.4
168,5.48,Clear,High,Afternoon,Bike,16,4.5,51.9
169,1.98,Clear,Medium,Evening,Scooter,14,8.8,24.4
170,15.18,Clear,High,Evening,Car,5,6.6,80.9
171,17.26,Clear,High,Night,Bike,28,9.7,118.7
172,1.4,Clear,Low,Night,Bike,10,0.9,15.4
173,13.29,Clear,Low,Night,Bike,23,7.4,57.8
174,6.44,Clear,Low,Morning,Bike,28,3.5,47.1
175,16.48,Clear,Medium,Night,Bike,17,0.7,92.0
176,5.18,Clear,Low,Morning,Bike,31,8.3,32.4
177,17.58,Rainy,High,Afternoon,Car,5,2.0,129.5
178,10.28,Clear,Low,Evening,Scooter,23,2.5,54.1
179,23.48,Rainy,Medium,Afternoon,Bike,29,3.7,156.2
180,4.3,Rainy,Low,Evening,Car,10,8.0,24.6
181,9.19,Rainy,High,Night,Scooter,5,6.4,64.0
182,3.72,Clear,Medium,Afternoon,Bike,29,3.0,45.2
183,23.19,Clear,High,Afternoon,Bike,27,2.1,162.0
184,22.06,Clear,High,Night,Scooter,21,1.5,154.7
185,7.19,Rainy,Medium,Afternoon,Scooter,21,1.9,63.5
186,16.84,Clear,Low,Morning,Bike,25,8.7,68.5
187,20.61,Foggy,Low,Evening,Bike,15,9.3,99.2
188,14.32,Foggy,Low,Night,Scooter,24,9.7,79.2
189,13.71,Clear,Medium,Morning,Bike,16,8.4,81.2
190,6.8,Clear,Low,Morning,Scooter,28,8.9,41.5
191,3.23,Rainy,Low,Night,Scooter,17,8.3,32.4
192,22.53,Clear,Medium,Afternoon,Bike,22,9.6,107.6
193,22.61,Clear,Medium,Evening,Bike,26,8.5,98.7
194,16.19,Foggy,Medium,Morning,Bike,28,4.9,115.4
195,9.14,Clear,Medium,Afternoon,Bike,5,3.6,40.4
196,9.38,Foggy,High,Night,Bike,7,6.1,65.1
197,18.42,Rainy,Medium,Night,Scooter,21,6.3,108.4
198,22.53,Rainy,Low,Evening,Bike,11,6.0,88.9
199,22.29,Clear,High,Night,Bike,21,7.2,129.8
200,19.72,Clear,High,Evening,Scooter,20,7.1,122.8
201,16.41,Clear,Low,Night,Scooter,16,1.3,78.5
202,3.02,Clear,Medium,Night,Car,29,3.2,33.4
203,4.88,Clear,Medium,Morning,Bike,12,9.0,22.8
204,22.57,Clear,Low,Afternoon,Bike,15,6.1,80.0
205,15.55,Clear,High,Morning,Bike,7,3.6,90.1
206,1.22,Clear,Low,Evening,Bike,32,8.6,18.3
207,3.44,Rainy,High,Morning,Scooter,33,2.9,67.1
208,16.92,Clear,Medium,Night,Bike,16,4.4,80.1
209,1.12,Clear,Medium,Night,Scooter,8,3.1,13.9
210,4.86,Rainy,Low,Afternoon,Bike,13,8.8,30.7
211,14.17,Stormy,Low,Evening,Bike,30,7.4,103.9
212,17.61,Clear,Low,Night,Car,26,4.9,74.5
213,16.65,Clear,Low,Afternoon,Bike,25,9.4,63.7
214,6.38,Rainy,Medium,Afternoon,Bike,33,9.3,63.2
215,18.09,Foggy,High,Night,Bike,25,7.3,149.4
216,6.69,Rainy,Medium,Night,Car,21,9.0,59.9
217,8.81,Rainy,High,Evening,Bike,20,7.3,72.6
218,18.92,Clear,Medium,Afternoon,Bike,16,6.5,85.9
219,16.59,Clear,High,Afternoon,Scooter,34,4.5,131.6
220,21.38,Clear,High,Afternoon,Scooter,19,3.1,135.4
221,16.78,Rainy,Low,Evening,Scooter,19,1.1,90.6
222,14.64,Rainy,High,Afternoon,Bike,5,8.1,101.8
223,3.25,Stormy,Medium,Morning,Car,7,1.7,37.2
224,9.83,Clear,High,Morning,Scooter,6,4.4,52.6
225,7.36,Clear,Medium,Afternoon,Bike,30,2.7,53.9
226,6.86,Clear,Medium,Morning,Bike,34,4.8,58.5
227,24.35,Rainy,Low,Morning,Car,21,3.5,118.2
228,10.43,Rainy,Low,Evening,Scooter,16,8.4,57.7
229,22.41,Clear,Medium,Afternoon,Scooter,9,9.8,87.4
230,16.15,Clear,High,Evening,Scooter,34,9.4,112.6
231,20.08,Clear,Medium,Afternoon,Bike,34,6.4,108.9
232,13.06,Clear,Medium,Night,Bike,15,9.8,60.2
233,14.85,Foggy,High,Morning,Bike,23,4.3,144.4
234,12.82,Clear,High,Evening,Bike,19,5.5,87.7
235,5.69,Rainy,Low,Evening,Bike,34,2.9,54.8
236,18.34,Rainy,Low,Night,Bike,11,9.0,80.3
237,7.74,Rainy,Low,Night,Scooter,12,2.2,50.5
238,1.58,Clear,High,Morning,Bike,14,6.3,24.1
239,16.49,Foggy,High,Morning,Bike,10,8.1,126.4
240,5.25,Clear,Low,Afternoon,Scooter,32,6.2,49.0
241,23.57,Clear,Low,Afternoon,Scooter,25,1.2,100.1
242,23.89,Clear,High,Night,Bike,19,6.3,140.3
243,22.96,Clear,High,Morning,Scooter,14,7.8,140.3
244,9.88,Clear,High,Morning,Scooter,32,2.3,98.6
245,1.37,Clear,Medium,Night,Bike,25,7.5,27.6
246,23.28,Stormy,Low,Night,Bike,21,8.8,139.7
247,11.28,Clear,Medium,Evening,Bike,32,9.9,64.0
248,24.2,Rainy,Low,Night,Scooter,26,4.4,123.8
249,24.13,Stormy,High,Evening,Bike,10,0.7,225.2
250,21.47,Clear,Medium,Afternoon,Bike,23,4.5,114.4
251,8.07,Rainy,High,Night,Car,24,6.8,78.2
252,10.24,Clear,Medium,Night,Bike,24,9.0,51.2
253,21.43,Clear,High,Night,Bike,10,9.4,104.1
254,8.61,Clear,Medium,Evening,Bike,18,9.1,45.7
255,5.07,Foggy,Medium,Night,Bike,28,6.8,62.1
256,14.36,Clear,Medium,Night,Scooter,32,7.0,77.9
257,23.47,Rainy,Low,Morning,Scooter,17,0.5,107.9
258,17.7,Clear,High,Morning,Bike,17,4.0,111.2
259,14.68,Foggy,Medium,Morning,Bike,13,9.1,90.7
260,3.33,Clear,Medium,Night,Bike,13,7.1,29.3
261,15.76,Rainy,High,Morning,Car,25,4.9,134.4
262,24.76,Rainy,High,Afternoon,Scooter,28,1.5,209.6
263,4.36,Rainy,Medium,Morning,Bike,33,2.8,63.3
264,13.44,Foggy,High,Night,Bike,12,5.8,105.5
265,22.06,Foggy,Low,Morning,Bike,14,9.0,104.0
266,18.78,Clear,Low,Morning,Bike,24,1.4,76.7
267,17.73,Clear,Medium,Morning,Car,8,2.0,85.4
268,17.86,Clear,Medium,Afternoon,Scooter,7,6.7,70.8
269,9.63,Clear,Medium,Afternoon,Scooter,17,3.3,56.9
270,8.05,Clear,Medium,Evening,Bike,25,2.1,64.4
271,20.42,Clear,Medium,Night,Bike,12,2.2,99.1
272,20.44,Clear,High,Afternoon,Bike,28,5.2,138.5
273,21.81,Stormy,Medium,Afternoon,Bike,13,6.0,159.0
274,22.92,Clear,High,Afternoon,Bike,18,9.1,134.0
275,13.27,Foggy,High,Night,Bike,5,5.5,106.9
276,13.04,Clear,Low,Evening,Bike,18,7.1,56.9
277,20.16,Rainy,Low,Night,Bike,16,2.2,94.2
278,16.6,Foggy,Medium,Morning,Car,8,7.3,92.3
279,17.85,Clear,High,Evening,Car,26,6.7,115.3
280,20.1,Clear,Low,Morning,Bike,25,2.6,80.6
281,22.36,Clear,Low,Afternoon,Bike,8,6.9,63.7
282,9.11,Clear,High,Night,Bike,17,2.5,67.7
283,10.01,Foggy,Medium,Morning,Scooter,20,6.1,68.3
284,3.26,Foggy,Low,Evening,Car,15,6.9,27.8
285,14.88,Clear,Low,Morning,Car,7,7.1,49.0
286,1.86,Clear,High,Morning,Scooter,6,9.1,10.2
287,12.17,Clear,High,Afternoon,Bike,29,9.5,79.8
288,14.02,Clear,Low,Morning,Bike,30,8.2,62.3
289,7.88,Rainy,Medium,Morning,Bike,7,8.8,34.4
290,15.18,Clear,High,Afternoon,Scooter,24,0.7,118.0
291,1.73,Clear,High,Evening,Bike,21,3.9,35.7
292,1.9,Clear,High,Afternoon,Scooter,5,0.9,15.7
293,20.74,Clear,Medium,Morning,Scooter,30,2.6,123.3
294,9.64,Rainy,High,Night,Bike,29,4.1,102.7
295,4.05,Clear,Medium,Afternoon,Car,15,8.7,30.4
296,13.53,Stormy,Low,Afternoon,Bike,20,5.4,96.6
297,19.48,Foggy,Medium,Morning,Car,24,6.7,125.1
298,6.18,Clear,Medium,Night,Car,14,3.9,36.1
299,15.95,Clear,High,Evening,Bike,24,6.2,109.1
300,3.05,Foggy,Low,Night,Bike,10,8.2,14.6
301,2.24,Foggy,High,Afternoon,Bike,6,3.4,33.9
302,13.75,Foggy,Low,Night,Scooter,26,9.4,77.8
303,13.98,Clear,Medium,Evening,Bike,33,2.5,89.6
304,16.3,Stormy,Low,Night,Car,11,9.2,101.2
305,18.43,Clear,Medium,Night,Bike,21,0.8,94.9
306,24.42,Rainy,Medium,Night,Scooter,12,5.7,138.1
307,13.39,Foggy,Medium,Afternoon,Car,17,9.9,87.7
308,8.75,Clear,Low,Morning,Scooter,26,6.3,52.2
309,20.08,Foggy,Medium,Morning,Bike,29,5.8,137.8
310,7.5,Clear,High,Night,Bike,33,7.0,75.7
311,11.54,Stormy,Medium,Afternoon,Bike,8,3.2,87.4
312,2.88,Clear,Low,Afternoon,Bike,15,1.0,26.7
313,1.61,Stormy,Low,Afternoon,Bike,6,2.9,17.9
314,24.1,Clear,High,Morning,Bike,29,2.2,163.6
315,21.06,Rainy,Medium,Afternoon,Scooter,12,9.3,105.0
316,17.7,Clear,Low,Night,Bike,22,8.6,69.2
317,10.81,Clear,High,Morning,Scooter,12,3.5,70.3
318,5.16,Clear,Medium,Afternoon,Bike,15,8.4,40.0
319,4.75,Rainy,Low,Night,Bike,28,2.5,49.1
320,7.01,Clear,High,Morning,Bike,9,2.4,53.0
321,14.18,Rainy,Medium,Afternoon,Bike,11,7.8,78.6
322,18.15,Clear,Medium,Evening,Bike,27,3.6,96.5
323,16.84,Stormy,Medium,Night,Scooter,8,1.1,132.0
324,7.72,Clear,High,Evening,Car,26,7.3,57.6
325,23.92,Clear,Low,Morning,Bike,14,9.9,81.7
326,18.71,Clear,Low,Afternoon,Bike,10,5.9,62.9
327,14.3,Clear,Low,Night,Bike,17,3.0,56.3
328,15.68,Clear,High,Night,Car,20,4.0,104.3
329,11.07,Clear,Medium,Night,Scooter,26,6.7,66.5
330,6.95,Foggy,Medium,Evening,Scooter,29,7.2,68.8
331,9.54,Rainy,Low,Afternoon,Bike,6,8.9,43.7
332,19.19,Rainy,Medium,Afternoon,Bike,30,9.1,117.2
333,1.35,Clear,High,Afternoon,Bike,28,8.7,37.2
334,3.79,Rainy,Medium,Evening,Car,19,6.7,31.4
335,2.1,Clear,High,Morning,Bike,12,4.8,18.8
336,1.98,Rainy,Medium,Evening,Scooter,21,7.0,33.3
337,21.53,Clear,High,Morning,Bike,31,6.8,147.1
338,17.89,Clear,Low,Evening,Bike,33,2.6,84.2
339,12.38,Clear,Medium,Afternoon,Bike,18,5.3,71.1
340,3.35,Foggy,High,Afternoon,Scooter,34,2.5,70.9
341,12.8,Clear,High,Afternoon,Bike,22,9.0,88.4
342,12.36,Rainy,Low,Evening,Car,33,3.6,74.8
343,5.16,Clear,Medium,Night,Bike,18,8.2,30.9
344,11.41,Rainy,Low,Evening,Bike,8,4.1,48.4
345,10.56,Foggy,High,Morning,Bike,25,7.8,104.2
346,15.78,Clear,Medium,Evening,Scooter,25,2.6,92.6
347,16.24,Clear,Medium,Morning,Bike,26,7.8,87.5
348,2.09,Foggy,Low,Evening,Bike,27,2.2,34.9
349,9.99,Clear,High,Night,Bike,5,5.2,60.6
350,16.02,Clear,Medium,Night,Bike,27,1.6,103.2
351,13.08,Rainy,Low,Afternoon,Scooter,10,5.5,58.6
352,21.56,Rainy,Medium,Night,Bike,9,8.3,109.0
353,16.81,Clear,Low,Evening,Scooter,19,7.7,62.4
354,4.91,Foggy,Medium,Night,Scooter,34,1.0,69.1
355,2.69,Clear,High,Afternoon,Car,20,5.2,43.7
356,16.42,Clear,High,Evening,Bike,26,8.6,115.4
357,1.64,Rainy,Medium,Morning,Bike,31,6.7,40.2
358,15.06,Clear,High,Evening,Car,12,1.1,100.5
359,23.57,Clear,Medium,Afternoon,Scooter,33,3.6,133.4
360,14.81,Rainy,Low,Night,Bike,32,5.8,82.6
361,10.32,Foggy,High,Night,Bike,10,2.1,82.3
362,16.44,Foggy,Medium,Evening,Car,9,7.0,97.6
363,12.0,Stormy,Medium,Morning,Bike,10,6.5,94.7
364,14.09,Foggy,High,Morning,Scooter,29,2.4,149.1
365,23.6,Clear,Low,Morning,Bike,32,5.7,97.1
366,10.27,Clear,High,Morning,Bike,5,8.2,63.7
367,24.07,Foggy,High,Evening,Bike,18,4.1,194.0
368,22.73,Clear,Medium,Night,Bike,23,2.8,111.6
369,5.7,Rainy,Low,Morning,Bike,23,7.2,33.1
370,2.66,Rainy,Medium,Evening,Car,29,1.2,46.4
371,3.42,Clear,Low,Evening,Scooter,19,8.4,24.9
372,1.44,Foggy,Medium,Evening,Scooter,23,9.5,31.2
373,3.27,Clear,High,Morning,Scooter,10,9.7,36.6
374,17.39,Clear,Medium,Morning,Bike,29,4.6,99.9
375,2.71,Stormy,Medium,Evening,Bike,30,6.4,55.7
376,8.66,Clear,Medium,Evening,Car,9,8.6,29.5
377,21.28,Clear,Medium,Evening,Bike,30,2.6,119.5
378,1.56,Clear,High,Night,Bike,20,0.8,38.9
379,20.55,Foggy,Medium,Night,Car,31,4.2,156.6
380,7.76,Rainy,High,Afternoon,Bike,13,8.9,61.5
381,3.84,Rainy,Medium,Afternoon,Car,29,5.3,59.2
382,17.72,Rainy,Medium,Morning,Car,19,5.5,99.5
383,16.09,Clear,Low,Night,Bike,26,7.1,67.2
384,22.06,Foggy,Medium,Afternoon,Bike,12,6.0,123.3
385,18.64,Foggy,Medium,Evening,Car,29,1.0,145.5
386,20.28,Clear,Low,Evening,Bike,29,5.8,79.5
387,7.77,Clear,High,Morning,Bike,12,6.7,55.0
388,5.26,Stormy,Medium,Morning,Bike,33,6.6,74.5
389,19.01,Foggy,High,Afternoon,Scooter,8,7.4,143.7
390,20.36,Foggy,Low,Evening,Scooter,28,5.4,110.0
391,24.77,Foggy,Medium,Morning,Car,6,9.1,130.3
392,10.9,Clear,Low,Morning,Car,20,4.9,41.2
393,9.93,Rainy,Low,Night,Car,7,5.4,37.0
394,19.63,Clear,High,Afternoon,Bike,13,7.9,107.7
395,9.18,Clear,Low,Morning,Scooter,30,8.4,53.3
396,23.34,Rainy,Medium,Afternoon,Bike,8,6.7,122.2
397,21.6,Clear,Low,Evening,Bike,6,1.7,83.8
398,11.3,Rainy,Medium,Afternoon,Scooter,23,3.7,74.6
399,19.02,Clear,High,Morning,Bike,27,0.7,142.1
400,19.11,Clear,Medium,Night,Car,29,3.3,104.2
401,3.47,Clear,Medium,Afternoon,Bike,19,5.9,27.1
402,22.66,Clear,Medium,Afternoon,Scooter,11,8.1,94.1
403,13.13,Clear,High,Evening,Bike,12,6.1,80.2
404,20.83,Clear,Medium,Night,Bike,7,0.9,100.1
405,8.68,Stormy,Medium,Afternoon,Bike,27,3.0,104.9
406,22.49,Clear,Medium,Night,Bike,19,6.0,109.4
407,10.34,Clear,High,Morning,Bike,5,7.2,60.5
408,1.26,Rainy,Medium,Night,Car,20,8.7,35.7
409,22.73,Rainy,Medium,Morning,Scooter,32,9.7,138.3
410,3.19,Clear,Medium,Evening,Bike,26,9.0,33.5
411,8.66,Rainy,Low,Evening,Bike,7,4.9,42.8
412,23.8,Rainy,Medium,Evening,Bike,6,7.6,125.6
413,23.81,Clear,Medium,Morning,Bike,34,2.8,128.0
414,14.76,Clear,Medium,Afternoon,Scooter,19,1.1,80.0
415,16.16,Foggy,Medium,Morning,Bike,8,1.0,108.0
416,11.76,Foggy,Low,Night,Scooter,31,2.8,80.7
417,8.04,Rainy,High,Night,Bike,18,0.9,84.4
418,8.89,Clear,High,Morning,Bike,13,8.6,64.3
419,17.14,Clear,High,Evening,Scooter,26,5.2,112.9
420,19.06,Rainy,Medium,Evening,Bike,32,8.2,119.4
421,20.0,Clear,Medium,Night,Scooter,13,9.4,92.4
422,19.95,Clear,High,Night,Scooter,18,9.9,114.1
423,3.19,Rainy,Medium,Afternoon,Scooter,19,9.4,23.9
424,12.87,Clear,Medium,Afternoon,Bike,28,7.3,72.5
425,2.38,Rainy,High,Afternoon,Car,9,4.7,31.7
426,14.19,Foggy,Medium,Night,Scooter,28,6.2,112.6
427,11.6,Clear,Medium,Afternoon,Bike,6,8.3,49.9
428,22.3,Foggy,Low,Night,Bike,28,9.0,115.4
429,9.42,Clear,Low,Night,Bike,21,9.6,40.8
430,3.81,Foggy,Low,Morning,Bike,15,7.4,33.8
431,4.43,Clear,High,Afternoon,Car,17,5.6,49.8
432,19.28,Clear,Medium,Morning,Bike,16,9.7,89.6
